Text,Language
The students are preparing for their final exams.,English
Innovation drives the tech industry forward.,English
Government announces new education policies.,English
The weather is quite rainy today in Nairobi.,English
She is working on her software engineering project.,English
Artificial intelligence is changing how we work.,English
Please submit your assignments before Friday.,English
The university hosted a great career fair.,English
I am learning how to use Streamlit for NLP.,English
Health and wellness are important for students.,English
We should protect the environment for the future.,English
The football match starts at exactly four.,English
Cloud computing is a great career path.,English
He decided to take a walk in the park.,English
Reading books helps to expand your knowledge.,English
The food at the cafeteria was delicious.,English
Education is the key to a better future.,English
Technology is evolving at a very fast pace.,English
The sun rises in the east every morning.,English
They traveled to Mombasa for the holidays.,English
A healthy diet consists of fruits and vegetables.,English
The library is a quiet place for study.,English
She wrote a beautiful poem about nature.,English
The internet connects people from all over.,English
He likes to play the guitar in his free time.,English
The hospital released new guidelines for patients.,English
She graduated with honors from the university.,English
The team worked hard to meet the deadline.,English
Nairobi traffic is always terrible on Mondays.,English
The new phone model was released last week.,English
He passed his driving test on the first attempt.,English
The students organized a charity event on campus.,English
She applied for a scholarship to study abroad.,English
The conference brought together experts from many fields.,English
He enjoys hiking in the hills every weekend.,English
The government launched a new housing project today.,English
She cooked a wonderful meal for the family.,English
The children played outside until sunset.,English
He fixed the bug in the code after three hours.,English
The election results were announced early this morning.,English
She joined a new gym to stay fit.,English
The bank increased its interest rates this quarter.,English
He donated clothes to the local charity.,English
The movie received excellent reviews from critics.,English
She planted vegetables in the backyard garden.,English
The company launched its new product last Monday.,English
He studied all night for the morning examination.,English
The market was crowded with shoppers on Saturday.,English
She learned how to code using online tutorials.,English
The principal addressed the students during assembly.,English
The bus arrived thirty minutes late today.,English
She bought a new laptop for her studies.,English
The researchers published their findings last month.,English
He celebrated his birthday with close friends.,English
The power went out for two hours last night.,English
She received a promotion at her workplace.,English
The farmers harvested their crops before the rains.,English
He lost his wallet on the matatu yesterday.,English
The school introduced new digital learning tools.,English
She volunteers at the orphanage every Sunday.,English
The mechanic repaired the car in one afternoon.,English
He reads the newspaper every morning with tea.,English
The construction of the new road is almost complete.,English
She won first prize in the science competition.,English
The hospital has new equipment for surgeries.,English
He wrote a letter to his friend in Uganda.,English
The youth organized a clean-up drive in the estate.,English
She registered for the upcoming marathon next month.,English
The pastor delivered a powerful sermon on Sunday.,English
He repaired the roof before the long rains.,English
The campus canteen was renovated over the holiday.,English
She learned how to drive during the semester break.,English
The journalist reported from the scene of the accident.,English
He sent his CV to ten companies this week.,English
The water pump broke down and left us with no water.,English
Ninakupenda sana na nitakujali kila siku.,Swahili
Leo kuna joto sana jijini Nairobi.,Swahili
Karibu katika mkutano wetu wa leo jioni.,Swahili
Mama amenda sokoni kununua mboga na matunda.,Swahili
Tunapaswa kuheshimu utamaduni wa kila mtu.,Swahili
Habari gani rafiki yangu wa tangu utotoni?,Swahili
Kenya ni nchi nzuri yenye mbuga nyingi.,Swahili
Maisha ni safari ndefu yenye changamoto nyingi.,Swahili
Kijana yule anasoma kwa bidii ili afanikiwe.,Swahili
Maji ni uhai kwa kila kiumbe duniani.,Swahili
Umoja ni nguvu na utengano ni udhaifu.,Swahili
Tafadhali nisaidie na kile kitabu cha hesabu.,Swahili
Sisi sote ni ndugu katika taifa hili letu.,Swahili
Mvua imeanza kunyesha kwa wingi sana leo.,Swahili
Chakula hiki kina ladha nzuri ajabu.,Swahili
Shule zitafungwa wiki ijayo kwa likizo.,Swahili
Jua linazama na anga ni rangi ya machungwa.,Swahili
Asante kwa msaada wako wa ukarimu.,Swahili
Napenda kusikiliza muziki wa kitamaduni.,Swahili
Barabara za jiji zina msongamano wa magari.,Swahili
Kazi ya mikono hulipa vizuri sana hapa.,Swahili
Tunaenda kutembelea babu kule kijijini.,Swahili
Miti husaidia kusafisha hewa tunayovuta.,Swahili
"Usikate tamaa, kesho itakuwa siku bora.",Swahili
Nitakupigia simu tukifika nyumbani.,Swahili
Watoto wanacheza mpira baada ya shule.,Swahili
Serikali imepanga mikakati ya kuboresha elimu.,Swahili
Hospitali mpya inajengwa karibu na mji wetu.,Swahili
Ndege iliruka kutoka uwanja wa ndege asubuhi.,Swahili
Baba yangu analima shamba kila asubuhi mapema.,Swahili
Tunahitaji kulinda misitu yetu kwa siku zijazo.,Swahili
Dawa hii inasaidia kupunguza maumivu ya kichwa.,Swahili
Mtoto wangu amefaulu mitihani yake vizuri sana.,Swahili
Wanafunzi walisherehekea siku ya utamaduni shuleni.,Swahili
Mvua ya mawe ilisababisha hasara kubwa mashambani.,Swahili
